EmpireGalaxy,Acción,763,77
QuestDragon,Aventura,59978,83
LegendsLegends,Aventura,31227,50
DragonQuest,Aventura,65351,31
GalaxyGalaxy,Estrategia,6816,97
GalaxyEmpire,Estrategia,42606,30
WarriorWarrior,Estrategia,17135,64
QuestGalaxy,RPG,65063,60
QuestWarrior,Aventura,56200,84
WarriorLegends,Aventura,36572,97
LegendsDragon,Estrategia,18445,53
EmpireWarrior,Acción,66166,53
GalaxyLegends,Acción,3404,64
DragonWarrior,Aventura,37696,42
DragonGalaxy,Aventura,45350,46
QuestWarrior,Acción,25529,13
DragonGalaxy,RPG,3215,65
DragonQuest,Deportes,63880,87
DragonWarrior,RPG,13492,61
LegendsDragon,Simulación,67026,89
DragonQuest,Estrategia,39317,22
GalaxyLegends,Simulación,20298,78
GalaxyWarrior,Simulación,14028,57
GalaxyLegends,Deportes,63557,42
DragonWarrior,Aventura,36372,80
EmpireGalaxy,Estrategia,67669,1
WarriorEmpire,Simulación,4170,82
WarriorDragon,Aventura,48583,99
EmpireLegends,Estrategia,11179,49
DragonQuest,Estrategia,31004,78
LegendsWarrior,Deportes,49222,44
DragonEmpire,Simulación,43613,50
QuestDragon,Estrategia,10002,79
GalaxyGalaxy,Acción,43173,52
DragonLegends,Simulación,58042,39
QuestWarrior,Aventura,7523,17
LegendsGalaxy,Acción,63178,43
QuestQuest,Aventura,8683,42
EmpireDragon,RPG,43740,85
WarriorLegends,RPG,4203,12
QuestQuest,RPG,12029,63
LegendsGalaxy,Estrategia,62822,16
GalaxyWarrior,Simulación,43923,92
EmpireGalaxy,Simulación,34769,53
GalaxyDragon,Simulación,31733,18
LegendsQuest,RPG,43613,21
DragonLegends,Estrategia,50580,64
LegendsEmpire,Deportes,8785,54
GalaxyLegends,RPG,67237,43
